title,number,cover,price,summary
Romance Dawn - O Amanhecer da Aventura,1,img/Volume_1.jpg,87.16,"A tripulação pirata mais famosa dos quadrinhos finalmente joga sua âncora de novo no Brasil! Com roteiro e arte de Eiichiro Oda, o mangá de maior sucesso de todos os tempos retorna ao país, agora sob a bandeira Planet Mangá! Para ser o rei dos piratas, Luffy, o homem-borracha, precisa reunir uma tripulação e encontrar o maior de todos os tesouros. No caminho, enfrentará a Marinha, monstros, e muitos outros piratas que têm o mesmo objetivo. Então prepare-se pra encarar os perigos dos mares. A maior aventura de todas vai recomeçar!"
"Contra a Tripulação de Buggy, o Pirata",2,img/Volume_2.jpg,37.95,
Coisas que não podem ser fingidas,3,img/Volume_3.jpg,34.32,O Pirata Buggy revela o que o torna tão temido e conta ao Luffy a sua época de juventude ao lado de Shanks! E a Nami? Será que Luffy e Zoro conseguirão convencê-la a se tornar a navegadora deles?
Lua Crescente,4,img/Volume_4.jpg,55.28,"Luffy e seus companheiros chegam à vila de Usopp em busca de um novo navio. Mas, por um acaso, eles descobrem as terríveis intenções de um perigoso ex-capitão pirata disfarçado de mordomo!"
Para aqueles a quem o sino bate,5,img/Volume_5.jpg,61.39,"Usopp decide defender sozinho sua vila e sua amiga Kaya contra o ataque do Capitão Kuro e sua antiga tripulação! Luffy, Zoro e Nami não vão perder essa briga por nada!"
O juramento,6,img/Volume_6.jpg,84.29,"Luffy chegou ao restaurante flutuante Baratie, querendo um cozinheiro em seu navio, e decidiu que o mulherengo e bondoso subchefe de cozinha Sanji fará parte de sua tripulação. Mas, antes, terá que convencê-lo a subir no Going Merry e resolver alguns problemas.."
Velho pum,7,img/Volume_7.jpg,74.35,"O restaurante flutuante Baratie está sob ataque do almirante pirata Don Krieg! Mas Luffy, Sanji e os cozinheiros do mar defenderão o legado de Zeff!!"
Eu não vou morrer,8,img/Volume_8.jpg,84.11,"Chega a vez de Luffy enfrentar o poder destrutivo e a famosa armadura impenetrável de Don Krieg! Enquanto isso, Nami parte no encalço de uma misteriosa figura"
Lágrimas,9,img/Volume_9.jpg,59.98,"Cada um do bando do Chapéu de Palha está em um canto da ilha onde Nami cresceu! Depois de tanto desencontro, eles conseguem se reunir novamente e descobrem o queaconteceu no passado da companheira! Eles querem levar Nami de volta, mas Arlong eseu bando de homens-peixes não vão deixar!"
"OK, Vamos FICAR DE PÉ!",10,img/Volume_10.jpg,58.15,"Finalmente Nami deixa o orgulho de lado e pede ajuda ao Luffy! Entretanto, a luta contra o bando do Arlongnão dará moleza!"
O Maior Mal do Leste,11,img/Volume_11.jpg,70.19,Agora a coisa ficou séria na luta entre Luffy e Arlong! O resultado desta luta definirá uma nova reputação para o Bando do Chapéu de Palha... e muito mais confusões para eles!
A lenda começou,12,img/Volume_12.jpg,68.56,
Está tudo bem,13,img/Volume_13.jpg,48.91,"Após uma longa e divertida festa, Zoro está sozinho contra uma emboscada, mas ele parece não dar a mínima para seus adversários! Entretanto, um mal entendido coloca o Luffy também contra ele! E uma reviravolta revelará um novo desafio para o Bando do Chapéu de Palha!!!"
Instinto,14,img/Volume_14.jpg,50.3,O Bando do Chapéu de Palha aporta na ilha de Little Garden e presencia uma disputa de proporções gigantescas! Mas a Baroque Works intervém com intrigas que podem colocar a vida de todos em risco!
Bem em frente!!!!,15,img/Volume_15.jpg,99.33,"Luffy e seus companheiros conseguem zarpar de Little Garden, mas, de repente, Nami fica doente e isso impede que eles sigam viagem até Alabasta! Agora, eles correm contra o tempo à procura de um médico que possa curá-la!"
Vontade Herdada,16,img/Volume_16.jpg,90.99,"No Reino de Drum, Luffy e Sanji enfrentam uma perigosa escalada ao Castelo de Drum para levar Nami a uma famosa médica e seu peculiar assistente. Mas Wapol, o antigo rei do local, pretende retomar o poder e passar por cima de quem estiver em seu caminho!"
As Cerejeiras de Hiluluk,17,img/Volume_17.jpg,84.67,"Luffy enfrenta Wapol, mas Chopper também terá a sua luta para proteger o legado de Hiluluk! O destino do Reino de Drum agora está nas mãos deles, para impedir a volta do rei tirano!"
"Apresentando, Ace.",18,img/Volume_18.jpg,82.97,"Após deixar a Ilha de Drum, o Bando do Chapéu de Palha segue até Alabasta e encontra novos piratas pelo caminho! Entre eles, um perigoso agente da Baroque Works e alguém que diz conhecer o Luffy muito bem!"
Rebelião,19,img/Volume_19.jpg,43.67,"Luffy e seus companheiros alcançam a base dos agentes da Baroque Works e desafiam pessoalmente o temível Crocodile! Entretanto, a astúcia desse adversário encurralará os piratas e Vivi terá que fazer uma difícil escolha: salvar seu povo ou seus novos amigos! Faça seu pedido o quanto antes e boas vendas!!!"
O fim será em Alubarna,20,img/Volume_20.jpg,50.75,"Luffy fica pra trás para enfrentar Crocodile, enquanto Vivi toma sua decisão e corre para impedir o choque entre o Exército Real e os rebeldes! Entretanto, os agentes da Baroque Works farão de tudo para garantir que o conflito exploda em caos, e o Bando do Chapéu de Palha terá que abrir caminho para a princesa de Alabasta!"
Nação Ideal,21,img/Volume_21.jpg,33.93,"Em Alubarna, Sanji precisa encontrar um jeito de driblar um importante ponto fraco para enfrentar o Mr. 2 Bon Clay! E Nami, sem poder fugir da batalha, terá que se virar para aprender a usar sua nova arma!"
Esperança!!,22,img/Volume_22.jpg,73.14,"O Exército Real e os rebeldes se encontram na Praça do Palácio de Alubarna, sob a mira do bombardeio planejado pelo Crocodile! Mesmo com a ajuda do bando de Luffy, a perspectiva de se evitar uma tragédia parece cada vez mais distante para a princesa Vivi!"
A Aventura de Vivi,23,img/Volume_23.jpg,38.54,"A princesa Vivi e o Bando do Chapéu de Palha descobrem a localização da bomba, mas o tempo está acabando! O duelo entre Luffy e Crocodile será definido!"
Os Sonhos das Pessoas,24,img/Volume_24.jpg,96.88,
O Homem de Centenas de Milhões,25,img/Volume_25.jpg,91.22,"O Bando do Chapéu de Palha, em busca de mais pistas sobre a Ilha do Céu, procura um recluso ""contador de histórias"" e entra em contato com antigos assuntos mal resolvidos."
Aventura na Ilha de Deus,26,img/Volume_26.jpg,51.58,
Proposta,27,img/Volume_27.jpg,40.98,"Luffy, Usopp e Sanji seguem pelo caminho da Provação das Esferas e enfrentam um sacerdote de Skypiea! Enquanto isso, Nami, Robin e Zoro exploram a ilha e encontram mais pistas sobre o local onde estão e quem são os guerrilheiros que se opõem a God Enel!"
"Wiper, o possuído",28,img/Volume_28.jpg,63.74,"Vander Decken não se conformou com a rejeição da princesa Shirahoshi e usou seus poderes para lançar a arca lendária Noah contra o Reino Ryuugu! Com o país prestes a ser destruído, Luffy decide destruir essa importante embarcação, mas algo se coloca em seu caminho!"
Oratório,29,img/Volume_29.jpg,91.02,"O que acontece quando Akira Toriyama, o consagrado autor de Dragon Ball, e Masakazu Katsura formam uma dupla imbatível? Acontece Katsura / Akira, um volume com histórias curtas que expandem o universo dos Patrulheiros Galácticos, que os fãs de Dragon Ball já conhecem! Com novos personagens e inimigos desafiadores, não vai faltar diversão nessas aventuras!"
Capricho,30,img/Volume_30.jpg,65.51,"Milênios atrás, os Guardiões do Universo assumiram seu solene dever: proteger toda a criação contra o mal. Para tal fim, eles criaram a Tropa dos Lanternas Verdes. Livres de medo e energizados por pura força de vontade, os lanternas levam a luz da justiça para todos os cantos do cosmo… Exceto um. Todo lanterna conhece a lei: o sistema Vega é proibido. Apesar de ter se tornado um refúgio de tiranos e ladrões, os gladiadores esmeralda não podem penetrar na escuridão daquele setor. E, escondida nos recônditos dessa área proibida, vive uma poderosa criatura, mantida em segredo pelos Guardiões por anos – uma criatura de cobiça infinita. Geoff Johns (Lanterna Verde, Liga da Justiça) e o desenhista Philip Tan (Crise Final: Revelações) armam o cenário para a Guerra das Luzes apresentando Hal Jordan contra um de seus adversários mais consagrados na atualidade: o desprezível Larfleeze!"
Eu estou bem aqui,31,img/Volume_31.jpg,52.93,"Quando sondas invasoras bombardeiam a Terra, Superman não vê escolha a não ser rumar aos rincões mais afastados do universo para confrontar seu antigo adversário. Mas o Brainiac que ele encontra é diferente de tudo o que encarou anteriormente! A bordo de sua enorme nave, o verdadeiro Brainiac guarda, entre seus tesouros, maravilhas e horrores na mesma quantidade. E somente um desses tesouros já escapou: o Homem de Aço! O que o Colecionador fará para garantir que o Último Filho de Krypton seja de uma vez por todas seu? Supergirl. Metrópolis. Terra. Nada sob a proteção do maior herói do planeta está a salvo. E, apesar do Superman ser mais rápido do que uma bala, nem mesmo ele é capaz de salvar a todos… O roteirista Geoff Johns (Lanterna Verde, Aquaman, Liga da Justiça) e o desenhista Gary Frank (Superman: Origem Secreta) criam mais um clássico instantâneo repleto de triunfo…e tragédia."
Canção de Amor,32,img/Volume_32.jpg,61.83,"DE VOLTA PARA O FUTURO! Os cinco alunos originais do Professor X – Ciclope, Garota Marvel, Homem de Gelo, Anjo e Fera – são arrancados do passado e trazidos para o presente. Mas o que eles encontram – a situação atual de seus futuros e do sonho de Xavier – está longe de ser o futuro com que eles sonhavam. Como esses jovens heróis idealistas vão reagir quando se depararem com o conhecimento opressivo do que o futuro lhes reserva? Quando os amargurados X-Men do presente encaram suas contrapartes do passado, não é um encontro pacífico – e um dos Filhos do Átomo será transformado para sempre. Brian Michael Bendis e Stuart Immonen desbravam um novo caminho para os X-Men! Este volume de 132 páginas reúne as edições 1 a 5 de All-New X-Men."
Desafio Davy Back ,33,img/Volume_33.jpg,99.43,"O Bando do Chapéu de Palha embarca em mais uma aventura no Mar Azul e vão parar numa ilha onde tudo é comprido, a Long Ring Long Island! Lá, eles conhecem Tonjit e sua fiel companheira, Sherry, que é machucada pelo bando do Foxy, o Raposa Prateada. Indignado com o ocorrido, Luffy aceitou lutar no Davy Back Fight, um desafio cujo prêmio são os próprios companheiros!"
O Capitólio de Água: Water Seven,34,img/Volume_34.jpg,59.18,"A terceira e última disputa do Davy Back Fight entre Luffy Chapéu de Palha e Foxy, o Raposa Prateada, chega ao fim! E, antes de seguirem para a próxima jornada à procura de um carpinteiro, o bando se depara com a inesperada visita de um Almirante do Quartel-General da Marinha!"
Capitão,35,img/Volume_35.jpg,52.42,"Uma nova ameaça e uma grande conspiração começam a rondar os mares de Water Seven. Porém, o Bando do Chapéu de Palha está mais preocupado com a atual situação do Going Merry, e uma discussão fervorosa entre Luffy e Usopp gera um clima de tensão e dúvidas sobre o futuro do grupo."
A Nona Justiça,36,img/Volume_36.jpg,82.65,"O Bando do Chapéu de Palha enfrenta uma de suas piores crises: sem navio e sem dois integrantes! E ainda é acusado de atentar contra a vida do prefeito de Water Seven! Pra piorar, Franky quer ajustar as contas com Luffy pela destruição de seu esconderijo e o pessoal da Galley-La Company se volta contra o bando!"
Tom,37,img/Volume_37.jpg,75.53,"Para impedir que Robin abandone o bando, Luffy e seus companheiros enfrentam sem sucesso a unidade secreta do Governo Mundial, a CP9, que está infiltrada em Water Seven há anos a fim de descobrir o paradeiro da antiga arma Pluton! Suspeitando de que ela esteja com Franky, os agentes da CP9 vão atrás do ciborgue e se aproximam de seu objetivo!"
Homem Foguete,38,img/Volume_38.jpg,47.3,"A inesperada saída de um dos integrantes do Bando do Chapéu de Palha abala Luffy e seus companheiros! Mas, antes de tentar recuperar seu integrante perdido, o bando precisa se reorganizar e enfrentar a Acqua Laguna!"
